trade_id,entry_date,close_date,close_reason,num_components,entry_cash,exit_cash,total_pnl
1,2016-02-11,2016-03-11,contract_expiry,126,-3.196300178115278e+177,0.0,2.9151102810337994e+178
2,2016-04-25,2016-05-20,contract_expiry,124,-4.368853383760623e+280,0.0,8.514348214290581e+281
3,2016-08-22,2016-09-16,contract_expiry,120,-3.2827372491460205e+207,0.0,6.6040127821410375e+208
4,2016-10-31,2016-11-30,contract_expiry,91,-2.0161668369324672e+172,0.0,1.797277820483049e+173
5,2017-02-10,2017-03-10,contract_expiry,127,-3.3468785499724715e+307,0.0,
6,2017-07-31,2017-08-30,contract_expiry,99,-8.059948058503017e+200,0.0,6.655348433816071e+202
7,2017-11-09,2017-12-08,contract_expiry,127,-7.785968880827311e+166,0.0,1.299599333529811e+168
8,2018-02-05,2018-02-07,signal_exit,134,-4.9331113699121795e+252,0.0,-5.341894475003217e+252
9,2018-02-08,2018-02-09,signal_exit,134,-8.543085291334994e+222,0.0,-8.204440728751833e+222
10,2018-05-08,2018-06-06,contract_expiry,129,-2.393726714287649e+223,0.0,4.21090126596214e+224
11,2018-08-09,2018-09-07,contract_expiry,113,-9.477108697922992e+277,0.0,9.350522566769553e+278
12,2018-12-24,2018-12-26,signal_exit,132,-3.56443453704596e+139,2.8970510492586846e+139,-8.095816741056612e+138
13,2019-02-14,2019-03-15,contract_expiry,129,-5.466852373411573e+155,0.0,5.43221172375187e+156
14,2019-05-01,2019-05-31,contract_expiry,114,-5.609981578418136e+293,0.0,7.768127221861283e+294
15,2019-08-01,2019-08-19,signal_exit,112,-3.937914935699141e+174,0.0,3.868785284581567e+175
16,2019-11-12,2019-12-11,contract_expiry,133,-9.133633792070367e+203,0.0,7.938652959820686e+204
17,2020-02-27,2020-03-02,signal_exit,136,-1.8005324503101515e+158,0.0,-2.1079904227526686e+158
18,2020-05-06,2020-06-05,contract_expiry,111,-1.3316557434621741e+284,0.0,1.6028600275442607e+285
19,2020-08-11,2020-09-09,contract_expiry,139,-3.7431545580706915e+291,0.0,4.47759209978828e+292
20,2020-10-28,2020-11-20,contract_expiry,140,-1.6419303319769433e+119,0.0,1.1603051663441854e+120
21,2021-01-29,2021-02-02,signal_exit,140,-2.5815643929268686e+161,0.0,-3.0118251060538794e+161
22,2021-04-30,2021-05-21,contract_expiry,137,-7.0851849453519e+247,0.0,7.774656220518614e+248
23,2021-07-19,2021-07-23,signal_exit,140,-4.41665144882024e+292,3.9845400596929136e+292,-7.727913517452532e+291
24,2021-08-02,2021-09-01,contract_expiry,111,-1.1051921236934973e+233,0.0,1.502236738159638e+234
25,2021-11-22,2021-12-17,contract_expiry,138,-6.138138831379636e+296,0.0,7.668005015992556e+297
26,2022-07-27,2022-08-19,contract_expiry,140,-6.133945555646791e+152,0.0,6.4137539563958086e+153
27,2023-01-31,2023-03-03,contract_expiry,115,-8.196499607426137e+146,0.0,8.452722196715148e+147
28,2023-08-04,2023-09-01,contract_expiry,113,-3.6169382888815996e+138,0.0,3.7211990608448195e+139
29,2023-10-27,2023-11-02,signal_exit,138,-3.178057529479826e+132,0.0,-3.8560431357688554e+132
30,2023-12-08,2024-01-05,contract_expiry,118,-2.749237204911438e+279,0.0,4.201836310400549e+280
31,2024-03-15,2024-03-25,signal_exit,141,-5.472393415741241e+174,0.0,6.346367368684508e+175
32,2024-04-15,2024-04-23,signal_exit,142,-2.1469227134326885e+284,0.0,-2.4717416718425403e+284
33,2024-05-28,2024-06-21,contract_expiry,140,-1.37070231431593e+277,0.0,2.7863409186455473e+278
34,2024-08-05,2024-08-08,signal_exit,114,-1.4897994913633965e+98,1.111588337504991e+98,-6.134069789280588e+97
35,2024-10-18,2024-11-15,contract_expiry,142,-4.36772365632316e+248,0.0,5.364157925874617e+249
36,2025-02-24,2025-03-21,contract_expiry,141,-6.975858488754235e+147,0.0,7.44193870804958e+148
37,2025-06-09,2025-07-11,contract_expiry,142,-4.3078110888447087e+300,0.0,5.649560224748441e+301
